 #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
132 |PSO J010.4440+40.9970              |WV*|010.44408271000 +40.99704464000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
133 |[FRS2006] WeCAPP V16986            |WV*|010.7145534426783 +41.3098082630394|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
134 |V* FK Oph                          |WV*|255.6621298396700 -26.2326181271700|     ~   |     ~   |     ~   |     ~   |12.242   |~              |  13|   0
135 |OGLE BLG-T2CEP-1290                |WV*|275.72154 -31.54128                |     ~   |     ~   |     ~   |     ~   |13.734   |~              |   1|   0
136 |[BCM2019] b333 36 87996            |WV*|265.622730 -29.464045              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
137 |CXOGCS J174459.0-285123            |WV*|266.2459758306100 -28.8566012918800|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   5|   0
138 |[DHG2019] 919                      |WV*|265.50333 -32.46617                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
139 |OGLE BLG-T2CEP-297                 |WV*|271.6411655158700 -31.5537262688900|     ~   |     ~   |15.939   |     ~   |14.600   |~              |   7|   0
140 |OGLE GD-T2CEP-293                  |WV*|283.28562 -02.85819                |     ~   |     ~   |     ~   |     ~   |16.699   |~              |   1|   0
141 |OGLE BLG-T2CEP-1014                |WV*|267.8062276708100 -18.1673282182200|     ~   |     ~   |     ~   |     ~   |13.258   |~              |   2|   0
142 |NSV 8540                           |WV*|260.2291219255699 -21.4889662690100|     ~   |     ~   |     ~   |     ~   |10.924   |~              |   2|   0
143 |OGLE BLG-T2CEP-695                 |WV*|266.6285602541700 -27.2240641932200|     ~   |     ~   |     ~   |     ~   |18.736   |~              |   6|   0
144 |[DHG2019] 1026                     |WV*|267.34354 -29.41106                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
145 |CRTS J231800.4-031132              |WV*|349.5015783309571 -03.1920546431675|     ~   |     ~   |13.17    |     ~   |     ~   |~              |   4|   0
146 |Gaia DR3 4655308906110642176       |WV*|074.9912292387762 -68.8555858609236|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
147 |[DHG2019] 780                      |WV*|262.87546 -31.36264                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
148 |OGLE SMC106.8 38983                |WV*|014.3692742712300 -73.5241567077000|     ~   |     ~   |19.113   |     ~   |18.446   |~              |   7|   0
149 |OGLE BLG-T2CEP-152                 |WV*|268.3612763940499 -34.5446182266200|     ~   |     ~   |15.547   |     ~   |14.095   |~              |   7|   0
150 |OGLE GD-T2CEP-232                  |WV*|224.95300 -58.18136                |     ~   |     ~   |     ~   |     ~   |18.536   |~              |   1|   0
151 |OGLE BLG-T2CEP-992                 |WV*|261.4483343605900 -44.8614779526300|     ~   |     ~   |     ~   |     ~   |16.556   |~              |   2|   0
152 |V* TZ Pav                          |WV*|267.1033730652899 -59.1778037506900|     ~   |13.57    |12.80    |12.34    |     ~   |~              |   4|   0
153 |OGLE BLG-T2CEP-835                 |WV*|269.1613045506199 -35.8749731088000|     ~   |     ~   |15.533   |     ~   |14.212   |~              |   5|   0
154 |CRTS J133210.0-410204              |WV*|203.0420012593400 -41.0345608259300|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
155 |OGLE BLG-T2CEP-1119                |WV*|256.0357507869300 -26.2193245670400|     ~   |     ~   |     ~   |     ~   |14.724   |~              |   3|   0
156 |OGLE BLG-T2CEP-493                 |WV*|264.0701944106700 -29.4837402587000|     ~   |     ~   |22.375   |     ~   |18.550   |~              |   5|   0
157 |[FRS2006] WeCAPP V08212            |WV*|010.709708 +41.233972              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
158 |OGLE LMC501.06.007602              |WV*|078.8305771624800 -72.1752001649700|     ~   |     ~   |16.956   |     ~   |16.051   |~              |   3|   0
159 |OGLE BLG-T2CEP-121                 |WV*|267.9901439683999 -32.0352393739800|     ~   |     ~   |16.980   |     ~   |14.513   |~              |   7|   0
160 |Gaia DR2 5995711814808683648       |WV*|237.1737706854100 -42.2655325491600|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
161 |ATO J281.8762-13.8889              |WV*|281.8762163242642 -13.8889305806878|     ~   |     ~   |     ~   |     ~   |15.36    |~              |   2|   0
162 |OGLE LMC108.3 17983                |WV*|078.8955705415800 -67.3452447058400|     ~   |     ~   |17.919   |     ~   |17.195   |~              |   8|   0
163 |OGLE BLG-T2CEP-675                 |WV*|266.2748595116100 -32.6480146316200|     ~   |     ~   |21.801   |     ~   |17.871   |~              |   5|   0
164 |V* BE CrA                          |WV*|283.7251537169300 -40.3875759690100|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   6|   0
165 |CRTS J210358.6+041711              |WV*|315.99452 +04.28657                |     ~   |     ~   |13.25    |     ~   |     ~   |~              |   3|   0
166 |Gaia DR3 5887671397119565184       |WV*|226.0270269035804 -54.2703970049764|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
167 |Gaia DR3 5407158771054299648       |WV*|152.9253069394096 -49.2785967942064|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
168 |[FRS2006] WeCAPP V20631            |WV*|010.824875 +41.351333              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
169 |CRTS J154133.2-282854              |WV*|235.3886221054833 -28.4815202056814|     ~   |13.833   |12.233   |11.941   |     ~   |~              |   2|   0
170 |OGLE BLG-T2CEP-1345                |WV*|259.0871950546055 -31.0290687949739|     ~   |     ~   |     ~   |     ~   |13.76    |~              |   1|   0
171 |OGLE BLG-T2CEP-1137                |WV*|257.6041607603600 -23.6479029269200|     ~   |     ~   |     ~   |     ~   |15.294   |~              |   3|   0
172 |[BCM2019] b333 57 65132            |WV*|266.055545 -29.461672              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
173 |[DHG2019] 1235                     |WV*|271.07425 -20.86081                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
174 |[DHG2019] 590                      |WV*|258.90721 -36.16561                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
175 |LINEAR 12273655                    |WV*|219.5557221260300 +05.8398207883700|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   4|   0
176 |OGLE BLG-T2CEP-671                 |WV*|266.2263938701000 -33.0927779446500|     ~   |     ~   |17.598   |     ~   |14.986   |~              |   6|   0
177 |Gaia DR2 5914096922097061120       |WV*|257.5304524171900 -60.6646890347900|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
178 |Gaia DR3 4662232736950100480       |WV*|075.1897536584900 -65.9842150462000|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   1
179 |[DHG2019] 1290                     |WV*|272.74496 -21.90583                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
180 |OGLE BLG-T2CEP-984                 |WV*|260.9721462468599 -42.3956502909200|     ~   |     ~   |     ~   |     ~   |14.118   |~              |   2|   0
181 |[DHG2019] 627                      |WV*|259.95662 -35.29356                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
182 |OGLE BLG-T2CEP-525                 |WV*|264.4817775445000 -24.5185899499900|     ~   |     ~   |17.020   |     ~   |15.175   |~              |   5|   0
183 |PSO J010.5596+40.3503              |WV*|010.55959035000 +40.35034862000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
184 |Gaia DR3 5531720828449947136       |WV*|116.2407243628408 -45.0912495644331|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
185 |OGLE LMC-T2CEP-156                 |WV*|084.0064031206600 -71.0031505277900|     ~   |     ~   |     ~   |16.31    |15.941   |~              |  11|   0
186 |CRTS J061010.8-202729              |WV*|092.5452140142767 -20.4579484635272|     ~   |     ~   |     ~   |16.186   |     ~   |~              |   1|   0
187 |OGLE BLG-T2CEP-645                 |WV*|265.8785580286300 -21.9287939683300|     ~   |     ~   |     ~   |     ~   |17.927   |~              |   6|   0
188 |[FRS2006] WeCAPP V10905            |WV*|010.78915488000 +41.25714096000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
