\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 078.83000         -70.04322        
 009.74568818000   +40.30963346000  
 100.8224725933700 +01.1609128640000
 010.12763076000   +40.76815902000  
 010.11463         +40.82153        
 277.3910898516134 -14.2308832992353
 013.9882896161200 -73.3049287324000
 233.78308         -55.86306        
 282.0680115079400 +00.8176643240700
 018.6649817634000 -72.6275999089600
 073.9685653489100 -68.8210905658300
 237.7680135345399 -39.7598088036200
 113.9546687909800 -29.0675517351100
 194.7515412812800 -68.5785495253200
 010.08297224000   +40.69831349000  
 325.1159832427592 +55.6258609483139
 073.3493384584500 -68.5391695800100
 265.6022075778299 -27.1608752756800
 016.1994782372100 -73.3306916867500
 000.51708         -15.41794        
 224.45421         -59.62622        
 098.7393854048800 +15.3304712026500
 072.1385867673300 -71.1944796034700
 014.2644508949200 -73.0959816455100
 078.8202506760900 -69.1358300391600
 010.9522766185600 +41.1538599174000
 012.2545657534900 -72.2461621726800
 086.9734333124000 -70.8777527135000
 097.8106139000200 +11.8503457435100
 012.3241095585300 -72.0299223390500
 083.5682304758413 -70.2704027435117
 012.9978244903100 -74.4348525699200
 084.0779149837300 -69.6682788948600
 023.5607312155700 +30.9337347534600
 074.7887128748600 -67.7504964104000
 073.8393211721500 -68.6665002495900
 000.49962         -15.41372        
 079.9109464011900 -66.2521594985700
 015.1965658241100 -73.5302258034400
 011.4482808051100 -72.8887693608300
 284.2018163411391 +03.5960315227828
 015.6145479845500 -73.4696903086600
 301.8739425386395 +38.5914085948297
 086.0877333537100 -67.3985476875900
 083.0650234345800 -70.0328433998900
 079.8558993435200 -69.3073990438500
 262.0164565600800 -31.6173602683700
 010.1007650399600 +40.8550368471500
 014.4589227126200 -72.7964823676900
 017.295025        -72.280158       
 262.73883         -35.09914        
 016.7078501487800 -72.4984054045500
 014.8142373882300 -73.3973657550700
 269.3023666811538 -26.8388151912500
 101.8180681141000 -04.6501175153900
 075.09288         -68.62497        
 156.8348785154400 -60.2650850851300
 021.7085589457400 -72.6843405278800
 008.2288220295900 -73.8219682561400
 087.3117389821400 -67.6582801681400
 279.0664066018200 +04.3982481669000
 013.9161373845200 -72.8835898847400
 001.7732207221975 +61.9596354581258
 278.5965582198471 +00.8414529578239
 087.1922022154500 -67.5259784589100
 012.3113865646200 -73.0488148709800
 073.9189699250800 -66.4286996282400
 266.2441955387000 -27.3501736709300
 298.7276340034613 +28.6968138172544
 073.2814078714600 -68.2169400778700
 082.9490099624800 -71.8168852915800
 335.7693416464221 +57.7443185797703
 266.3745498864100 -25.0623663149500
 083.5815223424700 -67.9928432004700
 011.72326718000   +42.08021172000  
 012.7312521138200 -72.5783143501700
 013.0692922882400 -72.5993682240000
 075.2363266009400 -70.6392029752300
 139.7996347410000 -50.8233809864500
